agent_id,agent_name,region,specialization,experience_years,success_rate,average_rating,active_clients,languages,contact_number,email
AGT_1031,Jenna Simon,Texas,travel,1,0.72,3.53,242,"Spanish, German, French",7692728974,jenna.simon@insureplus.com
AGT_1032,Bonnie Gomez,Florida,home,7,0.82,4.1,236,"English, French",511.930.4142,bonnie.gomez@insureplus.com
AGT_1033,Joseph Jones,New York,health,17,0.75,5.0,48,"French, Spanish",(712)226-1270x92164,joseph.jones@insureplus.com
AGT_1034,Brittany Washington,Minnesota,auto,17,0.75,4.34,40,"Mandarin, English, German",920-474-4295x1659,brittany.washington@insureplus.com
AGT_1035,Robert Johnson,Minnesota,life,8,0.63,4.09,260,"French, Spanish, English",(646)992-8922x0384,robert.johnson@insureplus.com
AGT_1036,Sally Barber,Minnesota,home,2,0.81,3.42,58,"German, Spanish",(399)727-2828,sally.barber@insureplus.com
AGT_1037,Michael Zimmerman Jr.,Texas,home,5,0.77,4.25,214,"English, German",954.942.9918x77683,michael.jr.@insureplus.com
AGT_1038,Amber Hamilton,Minnesota,life,10,0.75,4.72,167,"Spanish, English",842.216.4958x79491,amber.hamilton@insureplus.com
AGT_1039,Julie Rocha,New York,health,12,0.78,4.94,42,Mandarin,001-837-906-4069x1432,julie.rocha@insureplus.com
AGT_1040,Katherine Thomas,Texas,life,16,0.65,4.27,41,French,(890)309-9138x4546,katherine.thomas@insureplus.com
AGT_1041,Jonathan Oliver,Minnesota,life,16,0.76,3.67,263,"English, French, German",(636)675-4604,jonathan.oliver@insureplus.com
AGT_1042,Kimberly Payne,New York,health,8,0.85,5.0,261,"German, Spanish, Mandarin",(876)723-8921x017,kimberly.payne@insureplus.com
AGT_1043,Heather Myers,Illinois,travel,12,0.75,4.45,268,"English, French, German",+1-984-613-7826,heather.myers@insureplus.com
AGT_1044,Mr. Charles Martin,Texas,travel,11,0.76,3.84,90,"Mandarin, English",953-984-6889x4354,mr..martin@insureplus.com
AGT_1045,Virginia Jones,Minnesota,life,2,0.57,3.85,39,Mandarin,453.480.9400,virginia.jones@insureplus.com
AGT_1046,Sean Hernandez,Florida,travel,9,0.61,5.0,162,"Spanish, Mandarin",001-854-622-5240x2108,sean.hernandez@insureplus.com
AGT_1047,Shawn Bailey,Minnesota,health,4,0.74,4.03,176,Mandarin,465.218.7513,shawn.bailey@insureplus.com
AGT_1048,Alex Allen,Florida,health,2,0.84,3.64,192,"German, English",+1-738-217-4042,alex.allen@insureplus.com
AGT_1049,Peter Salazar,New York,travel,17,0.67,4.23,172,"Mandarin, Spanish",(378)661-5923x9671,peter.salazar@insureplus.com
